index,State,Commute Mode Share - Auto: Raw Value,Commute Mode Share - Auto: Score,Commute Mode Share - Transit: Raw Value,Commute Mode Share - Transit: Score,Commute Mode Share - Bicycle: Raw Value,Commute Mode Share - Bicycle: Score,Commute Mode Share - Walk: Raw Value,Commute Mode Share - Walk: Score,Complete Streets Policies: Raw Value,Complete Streets Policies: Score,"DUI/DWI Fatalities per 10,000 Residents: Raw Value","DUI/DWI Fatalities per 10,000 Residents: Score",Person Miles of Travel by Private Vehicle: Raw Value,Person Miles of Travel by Private Vehicle: Score,Person Miles of Travel by Walking: Raw Value,Person Miles of Travel by Walking: Score,Physical Activity from Transportation: Raw Value,Physical Activity from Transportation: Score,Proximity to Major Roadways: Raw Value,Proximity to Major Roadways: Score,"Road Traffic Fatalities per 100,000 Residents - Auto: Raw Value","Road Traffic Fatalities per 100,000 Residents - Auto: Score","Road Traffic Fatalities per 100,000 Residents - Bicycle: Raw Value","Road Traffic Fatalities per 100,000 Residents - Bicycle: Score","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Raw Value","Road Traffic Fatalities per 100,000 Residents - Pedestrian: Score",Road Traffic Fatalities Exposure Rate - Auto: Raw Value,Road Traffic Fatalities Exposure Rate - Auto: Score,Road Traffic Fatalities Exposure Rate - Bicycle: Raw Value,Road Traffic Fatalities Exposure Rate - Bicycle: Score,Road Traffic Fatalities Exposure Rate - Pedestrian: Raw Value,Road Traffic Fatalities Exposure Rate - Pedestrian: Score,Seat Belt Use: Raw Value,Seat Belt Use: Score,Transit Trips per Capita: Raw Value,Transit Trips per Capita: Score,Use of Federal Funds for Bicycle and Pedestrian Efforts: Raw Value,Use of Federal Funds for Bicycle and Pedestrian Efforts: Score,Vehicle Miles Traveled per Capita: Raw Value,Vehicle Miles Traveled per Capita: Score,Unnamed: 41,Unnamed: 42,Unnamed: 43
122,"Cincinnati, OH-KY-IN",0.915,41.240505,2.151087451406157E-2,69.802649,1.5429952319245914E-3,20.960687,2.1137633773784092E-2,38.08736,No policy,0,3.2,47.075254,0.467,74.794422,0.47,34.203713,1.1030953275908728E-2,35.983348,7.3,73.512728,6.5419484688849977E-2,79.764485,0.8,76.952992,8.0,76.071864,42.4,40.951959,37.1,61.827687,,,,,,,,,,,,,
123,"Clarksville, TN-KY",0.929,27.362557,5.3737718923536947E-3,25.960376,1.2558735583084151E-3,18.078041,2.7945322511747115E-2,58.099482,No policy,0,5.8,13.720711,0.518,48.682165,0.43,14.13822,0,99.995998,13.9,16.941779,0.2,47.150107,1.6,31.477111,15.0,17.247562,179.4,15.504665,56.4,43.564187,,,,,,,,,,,,,
124,"Cleveland, TN",0.937,19.886726,1.8163976867027162E-3,12.945958,1.0647848508257302E-3,16.137854,1.3612543583105414E-2,16.603217,No policy,0,7.6,5.570295,0.570,22.881973,0.41,7.248603,0,99.995998,16.7,8.010909,0.0,89.312711,0.7,81.873815,17.8,8.085171,0.0,96.798886,51.0,48.014537,,,,,,,,,,,,,
125,"Cleveland-Elyria, OH",0.900,55.63156,3.5372692078460596E-2,88.112881,3.1081051039193249E-3,35.970722,2.1315291644215126E-2,38.629035,Policy in place,100,2.0,72.767501,0.496,60.854126,0.45,22.625938,5.5664067535778046E-3,44.108474,5.4,91.763383,0.1,72.318815,0.7,79.928988,6.0,93.055088,34.0,45.586378,34.3,65.113266,,,,,,,,,,,,,
126,"Coeur d'Alene, ID",0.898,58.500044,6.1928059424930515E-3,28.793972,4.7461924808608162E-3,49.959232,1.7846984054743754E-2,28.183808,No policy,0,1.4,86.27816,0.549,32.443499,0.64,99.365007,0,99.995998,9.6,48.251026,0.0,89.312711,0.1,98.671163,10.7,47.62543,0.0,96.798886,8.0,97.330238,,,,,,,,,,,,,
127,"College Station-Bryan, TX",0.885,69.76836,2.3793146876180695E-2,73.87905,1.5887931953149977E-2,94.07938,3.6978192844617966E-2,78.5959,No policy,0,5.1,19.269854,0.579,19.357523,0.52,64.892685,0,99.995998,14.8,13.28586,0.4,12.403774,1.4,38.404594,16.7,10.761084,28.2,49.569976,38.8,59.953428,,,,,,,,,,,,,
128,"Colorado Springs, CO",0.874,77.401856,9.1702645979778053E-3,38.612022,3.9671855689164684E-3,43.562661,4.6311944699444337E-2,90.841335,No policy,0,2.2,67.947988,0.470,73.50621,0.53,70.732698,0,99.995998,6.2,84.502325,0.1,68.654765,0.6,86.915738,7.1,84.200129,31.3,47.384297,12.7,92.735738,,,,,,,,,,,,,
129,"Columbia, MO",0.898,57.689826,5.5090569790700534E-3,26.43217,8.7943769625317084E-3,75.118914,4.8095296628635924E-2,92.333078,No policy,0,5.3,17.336019,0.501,57.849549,0.62,97.726982,0,99.995998,9.4,50.000287,0.0,89.312711,0.8,73.458065,10.5,49.592755,0.0,96.798886,17.6,86.745704,,,,,,,,,,,,,
130,"Columbia, SC",0.899,57.028933,7.4344364658133003E-3,32.98336,2.0070469648989786E-3,25.542597,2.6194750457160697E-2,53.198861,No policy,0,9.9,1.847699,0.499,59.122331,0.49,46.273338,7.3836787921249477E-4,76.381,14.3,15.051902,0.1,72.472752,2.1,13.028239,15.9,13.290426,52.3,36.595867,81.2,28.514376,,,,,,,,,,,,,
131,"Columbus, GA-AL",0.884,70.17545,7.2572320063335844E-3,32.393514,2.7631813842296854E-3,32.779956,1.2279081319807199E-2,13.441071,No policy,0,4.2,30.252615,0.540,37.103617,0.50,51.588947,0,99.995998,13.0,21.214061,6.7174596179915072E-2,79.462836,1.8,21.93701,14.7,18.259406,24.3,52.741875,147.7,10.783351,,,,,,,,,,,,,
132,"Columbus, IN",0.930,26.329259,5.3698958730851003E-3,25.946837,3.7889113013138526E-3,42.031643,1.6191462683312435E-2,23.430234,No policy,0,0.0,99.833373,0.446,83.019597,0.48,35.318375,0,99.995998,10.1,42.922791,0.3,40.098793,0.8,77.287434,10.9,45.610151,68.5,31.241701,48.1,50.590674,,,,,,,,,,,,,
133,"Columbus, OH",0.910,46.389586,1.6168645339158329E-2,58.253292,4.3225343238530636E-3,46.540833,2.1238465257982599E-2,38.394786,Policy in place,100,2.8,55.823149,0.470,73.400533,0.48,36.213471,9.3927410079791447E-3,37.369488,7.2,74.225738,0.1,63.34877,1.2,53.84975,8.0,76.347437,34.6,45.239174,54.8,44.816971,,,,,,,,,,,,,
134,"Corpus Christi, TX",0.904,52.127202,1.5590650932298569E-2,56.826076,3.8803634447407503E-3,42.820058,1.8912114292405878E-2,31.344444,No policy,0,6.0,12.823735,0.545,34.668723,0.53,72.017294,0,99.995998,9.1,53.079287,0.1,65.123878,2.8,3.988999,10.1,53.544604,36.4,44.178009,146.8,10.910078,,,,,,,,,,,,,
135,"Corvallis, OR",0.732,99.968105,2.2740076824583868E-2,72.058485,7.6901408450704228E-2,100,8.7989756722151091E-2,99.946369,No policy,0,3.5,41.771534,0.529,42.769016,0.56,84.347529,0,99.995998,6.4,83.015613,0.5,10.284486,0.5,91.532508,8.7,68.169673,6.2,77.810632,5.4,98.991218,,,,,,,,,,,,,
136,"Crestview-Fort Walton Beach-Destin, FL",0.930,25.694756,5.3361311357046966E-3,25.828845,4.1967035570447085E-3,45.497627,1.3357250031024018E-2,15.976108,No policy,0,[no data],[no data],0.507,54.650107,0.57,87.41073,0,99.995998,[no data],[no data],[no data],[no data],[no data],[no data],8.7,67.940303,44.1,40.133858,152.4,10.149204,,,,,,,,,,,,,
137,"Cumberland, MD-WV",0.922,33.622393,4.852356684791885E-3,24.128187,1.7068591353539293E-4,6.410009,3.9769817853746559E-2,83.141398,No policy,0,7.9,5.022501,0.558,28.103803,0.55,80.529594,0,99.995998,13.0,21.312427,0.0,89.312711,0.4,94.035643,14.1,21.452195,0.0,96.798886,9.9,95.691218,,,,,,,,,,,,,
138,"Dallas-Fort Worth-Arlington, TX",0.916,39.90839,1.495026708992734E-2,55.203361,1.5867346486133568E-3,21.396632,1.2174385062284838E-2,13.20515,No policy,0,3.3,44.754206,0.467,74.556142,0.46,25.217499,1.4572049326239914E-2,34.368218,6.8,79.000923,0.1,71.327735,1.3,47.643764,7.4,81.661156,69.9,30.875287,104.2,19.857369,,,,,,,,,,,,,
139,"Dalton, GA",0.953,8.722995,4.7548944954904646E-3,23.78328,4.9071864900079528E-4,10.133472,7.0054317478044567E-3,4.155774,No policy,0,2.8,55.139299,0.568,23.668487,0.37,1.610096,0,99.995998,13.7,18.043017,0.0,89.312711,0.7,80.601209,14.3,20.292779,0.0,96.798886,102.6,20.353498,,,,,,,,,,,,,
140,"Danville, IL",0.920,35.770234,8.5873504065288233E-3,36.752714,8.5264472121562775E-4,13.958442,3.0360242394713601E-2,64.419314,No policy,0,0.0,99.833373,0.522,46.520298,0.47,30.671997,0,99.995998,10.9,36.098936,0.5,8.72117,2.0,16.749729,11.8,37.176488,580.3,4.837429,65.2,37.351177,,,,,,,,,,,,,
141,"Daphne-Fairhope-Foley, AL",[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],No policy,0,[no data],[no data],0.544,34.906837,0.64,99.200834,0,99.995998,[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],,,,,,,,,,,,,
142,"Davenport-Moline-Rock Island, IA-IL",0.931,25.372027,8.0522343011890062E-3,35.01811,2.9905134268514879E-3,34.891463,2.0285649412142594E-2,35.492951,Policy in place,100,3.1,48.219241,0.471,73.122214,0.49,45.936797,0,99.995998,6.3,83.759466,0.1,72.428792,0.6,87.385202,6.8,87.175513,35.2,44.880066,28.5,72.238299,,,,,,,,,,,,,
143,"Dayton, OH",0.915,40.684136,1.6552072666338621E-2,59.180544,3.2210445121221391E-3,36.99865,2.5499714069128775E-2,51.190848,Policy in place,100,3.7,37.133902,0.486,65.929891,0.46,25.37903,7.4856371807625823E-4,76.217081,8.2,62.977967,0.2,53.373099,0.9,72.726345,9.0,65.277984,60.9,33.559712,33.6,65.902473,,,,,,,,,,,,,
144,"Decatur, AL",0.966,3.29057,1.9612950676493571E-3,13.508912,6.1290470864042409E-5,4.808803,8.3355040375097684E-3,5.970499,No policy,0,3.9,34.487744,0.521,47.369968,0.50,52.819484,0,99.995998,17.0,7.249889,0.3,39.653849,0.8,76.907127,17.6,8.433267,4273.9,0.287278,94.3,23.129616,,,,,,,,,,,,,
145,"Decatur, IL",0.932,24.283292,1.1459765804058841E-2,45.595124,1.2293203317081303E-3,17.809546,2.2377797224653082E-2,41.865398,No policy,0,1.8,77.652212,0.482,67.785817,0.44,18.495878,0,99.995998,6.2,84.795974,0.2,56.288673,1.1,58.124198,6.7,88.181373,148.5,18.105677,48.9,49.839801,,,,,,,,,,,,,
146,"Deltona-Daytona Beach-Ormond Beach, FL",0.911,44.844984,9.4804415465222416E-3,39.588258,6.0311745157662772E-3,59.411632,1.6474788581110726E-2,24.226858,No policy,0,5.0,20.078742,0.583,17.69157,0.55,80.53157,0,99.995998,13.7,17.927733,0.6,2.297278,3.4,1.29972,15.0,17.022827,107.7,23.100427,203.7,5.483264,,,,,,,,,,,,,
147,"Denver-Aurora-Lakewood, CO",0.856,87.459401,4.5280607799630578E-2,94.273931,8.8637446126322884E-3,75.437522,2.1415488512757364E-2,38.934543,No policy,0,1.8,78.598666,0.459,77.906825,0.45,19.678144,8.237883812759212E-3,38.754877,4.8,95.315455,0.2,62.072563,1.2,53.236761,5.6,95.079589,17.6,59.488283,54.9,44.80319,,,,,,,,,,,,,
148,"Des Moines-West Des Moines, IA",0.921,34.531784,1.2433594442159881E-2,48.404468,2.4639847012293179E-3,29.953467,1.6987118408339434E-2,25.686269,No policy,0,1.9,76.587675,0.440,85.10935,0.57,87.998307,0,99.995998,6.5,82.254564,0.1,65.392651,0.8,77.828861,7.0,85.185005,56.8,34.947848,45.3,53.257276,,,,,,,,,,,,,
149,"Detroit-Warren-Dearborn, MI",0.930,26.005559,1.6117605777686971E-2,58.128689,2.3618427481322899E-3,28.976933,1.3859586394364446E-2,17.219296,No policy,0,1.9,76.122035,0.499,58.831014,0.42,8.225661,1.7182555021183946E-2,33.815845,5.2,92.600982,0.2,52.922758,1.5,35.933616,5.6,94.805977,83.9,27.453711,107.1,19.02198,,,,,,,,,,,,,
150,"Dothan, AL",0.954,8.300192,2.8781474598292846E-3,16.980032,8.3877440257882014E-4,13.814781,6.989786688156834E-3,4.136609,No policy,0,2.0,72.789869,0.557,28.452146,0.48,38.002296,0,99.995998,13.7,17.960805,0.1,65.77169,1.1,57.537899,14.3,20.259074,164.6,16.653713,158.0,9.439834,,,,,,,,,,,,,
151,"Dover, DE",0.927,29.117857,1.2352626305603975E-2,48.174641,2.909729751986714E-3,34.144846,2.0834763035452036E-2,37.164216,No policy,0,7.2,7.062395,0.526,44.605721,0.58,92.616496,0,99.995998,11.3,33.106464,0.7,0.944449,2.0,16.780936,12.1,34.65042,254.9,11.350895,94.9,22.891622,,,,,,,,,,,,,
152,"Dubuque, IA",0.899,57.484483,1.0222403591103857E-2,41.885645,1.9995919200163233E-3,25.469765,4.5888594164456231E-2,90.453141,No policy,0,1.1,92.316879,0.477,70.032646,0.48,40.408201,0,99.995998,5.5,90.424096,0.0,89.312711,0.6,84.605818,6.2,91.703213,0.0,96.798886,13.9,91.327451,,,,,,,,,,,,,
153,"Duluth, MN-WI",0.890,64.903695,2.0300630602259721E-2,67.439366,5.5302512423863037E-3,55.892731,3.8949866736306869E-2,81.891379,No policy,0,3.2,46.567266,0.515,50.537232,0.47,30.799063,0,99.995998,8.4,60.979319,0.0,89.312711,0.6,84.241243,9.4,60.42336,0.0,96.798886,16.6,87.995665,,,,,,,,,,,,,
154,"Durham-Chapel Hill, NC",0.861,85.294071,3.8678518469427485E-2,90.635171,9.7918202679081797E-3,79.380165,3.0618077588992071E-2,65.060353,No policy,0,2.5,62.611614,0.496,60.488027,0.54,77.797303,8.9727231918570874E-4,73.955837,7.9,67.125576,0.2,53.235365,1.4,39.413486,9.1,63.695042,20.1,56.728856,46.3,52.331907,,,,,,,,,,,,,
155,"East Stroudsburg, PA",[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],No policy,0,[no data],[no data],0.547,33.543262,0.43,11.908252,0,99.995998,[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],,,,,,,,,,,,,
156,"Eau Claire, WI",0.890,64.877946,6.118565268711006E-3,28.539378,6.5401199624214104E-3,62.769594,4.0047695902488377E-2,83.549429,No policy,0,4.9,21.554517,0.517,49.325483,0.50,50.366981,0,99.995998,8.9,55.207286,0.4,21.057719,0.6,85.515987,10.0,54.239385,56.9,34.900503,15.5,89.422609,,,,,,,,,,,,,
157,"El Centro, CA",0.901,55.212325,1.3005805848200894E-2,50.009111,4.2352692042987982E-3,45.818696,2.8446891488873596E-2,59.456903,No policy,0,1.1,91.100248,0.644,3.718505,0.49,42.457666,0,99.995998,16.3,8.78071,0.3,24.248056,1.9,20.167406,18.1,7.36373,82.6,27.735352,65.6,37.085452,,,,,,,,,,,,,
158,"El Paso, TX",0.906,50.580597,1.8361494629370975E-2,63.347864,1.467807127053385E-3,20.209351,2.1290928642942783E-2,38.55475,No policy,0,3.6,39.346656,0.560,27.293433,0.40,4.472157,1.1397500393616878E-2,35.743516,7.0,76.918605,5.0625964741040592E-2,82.218564,2.2,11.947771,7.7,78.733468,34.5,45.312057,102.2,20.455973,,,,,,,,,,,,,
159,"Elizabethtown-Fort Knox, KY",0.930,26.468188,3.2613435977170593E-3,18.396627,2.2753559984072509E-4,7.128449,1.478981398964713E-2,19.615959,No policy,0,2.0,73.690673,0.504,56.436788,0.50,50.165558,0,99.995998,14.3,15.133538,0.1,63.771155,0.7,79.558456,15.4,15.361386,648.7,4.251396,49.9,48.982396,,,,,,,,,,,,,
160,"Elkhart-Goshen, IN",0.926,30.247411,3.9798719121683437E-3,21.012642,1.3014638609332113E-2,89.132139,1.867566331198536E-2,30.637519,No policy,0,2.0,73.380184,0.505,56.053832,0.47,31.958493,0,99.995998,12.6,23.990137,0.4,17.313603,0.8,75.910767,13.6,24.633656,30.9,47.677047,43.0,55.523564,,,,,,,,,,,,,
161,"Elmira, NY",0.914,41.883443,1.6573866888692303E-2,59.232782,3.2783472966644118E-3,37.516891,3.4890981943071241E-2,74.646152,No policy,0,4.5,26.186809,0.493,62.092772,0.40,5.229203,0,99.995998,7.7,69.362146,0.7,1.778765,1.1,56.099977,8.4,71.777375,206.4,13.737755,32.3,67.487826,,,,,,,,,,,,,
162,"Erie, PA",0.912,44.191019,1.4739898224512259E-2,54.660774,3.102716671718219E-3,35.921465,3.7408075039481868E-2,79.349968,No policy,0,4.3,28.972913,0.508,54.359935,0.51,58.487674,0,99.995998,11.2,33.544818,7.1306484540397619E-2,78.744233,0.7,80.894102,12.3,33.554328,23.0,53.924866,19.1,84.792726,,,,,,,,,,,,,
163,"Eugene, OR",0.810,97.963239,3.4269060479069489E-2,87.143832,4.8189838358453453E-2,99.998295,4.5860936955191674E-2,90.427305,No policy,0,1.7,80.414571,0.570,22.803893,0.54,77.1174,0,99.995998,7.4,72.515141,0.5,7.632048,1.4,42.230517,9.1,63.970904,10.6,69.098608,29.7,70.703197,,,,,,,,,,,,,
164,"Evansville, IN-KY",0.939,18.615469,9.496659242761692E-3,39.639046,3.0586488492947289E-3,35.517914,1.8399406087602078E-2,29.815146,Policy in place,100,3.2,47.092578,0.484,66.832214,0.44,16.054174,0,99.995998,10.6,38.496008,0.2,43.289584,1.1,57.985142,11.3,41.778215,79.7,28.387388,59.6,41.150771,,,,,,,,,,,,,
165,"Fairbanks, AK",0.871,79.419798,1.4722695817871828E-2,54.616197,1.1112225453816066E-2,84.0465,2.8522715876040518E-2,59.660158,No policy,0,4.0,32.990469,0.481,68.069935,0.46,25.196122,0,99.995998,6.9,78.115656,0.2,52.061738,0.8,75.60146,7.9,76.968328,18.2,58.762718,28.4,72.478779,,,,,,,,,,,,,
166,"Fargo, ND-MN",0.897,58.791292,7.6534453050504372E-3,33.708556,7.4610636197868742E-3,68.299159,4.2148317914917112E-2,86.387757,Policy in place,100,0.5,98.378945,0.466,74.997995,0.54,78.364545,0,99.995998,4.7,95.488807,9.6624892504807089E-2,74.099437,1.1,60.132042,5.3,96.374215,13.0,65.451498,25.2,76.574338,,,,,,,,,,,,,
167,"Farmington, NM",0.940,17.76543,1.1485671624648251E-3,10.265034,1.7994218878615593E-3,23.50452,1.7209364650931296E-2,26.326366,No policy,0,5.5,16.394822,0.523,45.903718,0.40,4.912294,0,99.995998,17.1,7.183359,0.2,61.569442,4.3,0.21473,18.2,7.297074,87.8,26.637031,247.8,3.434893,,,,,,,,,,,,,
168,"Fayetteville, NC",0.922,33.839652,5.230255013617232E-3,25.458262,1.9497400346620451E-3,24.982063,3.2062391681109186E-2,68.522685,No policy,0,7.0,7.798958,0.534,40.159502,0.46,27.832112,0,99.995998,13.1,20.734007,5.4668289221490765E-2,81.564032,2.6,5.315112,14.2,20.814638,28.0,49.718758,81.8,28.216703,,,,,,,,,,,,,
169,"Fayetteville-Springdale-Rogers, AR-MO",0.913,43.416819,4.3712880323119622E-3,22.418196,1.8159098035728494E-3,23.667089,2.5680147144856249E-2,51.715165,No policy,0,3.1,48.811364,0.518,48.564843,0.50,50.046175,0,99.995998,11.1,33.972769,8.5379306105303421E-2,76.211443,0.9,70.406305,12.2,34.091455,47.0,38.797275,34.9,64.397018,,,,,,,,,,,,,
170,"Flagstaff, AZ",0.805,98.443034,1.4502967939983399E-2,54.044042,2.8692696831587025E-2,99.705391,8.3901079108521667E-2,99.904164,No policy,0,12.5,0.571766,0.549,32.676895,0.43,13.194056,0,99.995998,29.7,0.2317,0.8,0.826959,5.4,0.021348,37.0,0.044308,26.3,51.066681,64.8,37.608738,,,,,,,,,,,,,
171,"Flint, MI",0.942,15.868208,1.0592239963995258E-2,43.010524,1.78122048466946E-3,23.324913,1.002174229986625E-2,8.794388,No policy,0,2.6,59.010583,0.537,38.751442,0.42,9.381057,0,99.995998,7.0,76.883407,0.1,65.018952,2.1,14.173867,7.4,81.58202,79.5,28.432223,207.4,5.266228,,,,,,,,,,,,,
172,"Florence, SC",0.938,18.812054,3.6772530564949039E-3,19.91678,2.3884408919999053E-3,29.231773,1.2746234067207415E-2,14.516272,No policy,0,7.8,5.261037,0.540,36.792184,0.48,38.462787,0,99.995998,21.2,2.284946,0.2,53.30912,2.4,8.688639,22.6,2.117937,82.2,27.824162,184.9,6.805338,,,,,,,,,,,,,
173,"Florence-Muscle Shoals, AL",0.963,4.24143,1.6297749912690626E-3,12.212799,6.4858392509687182E-4,11.825157,9.446042806539056E-3,7.765501,No policy,0,4.8,22.996614,0.540,37.203917,0.51,57.448212,0,99.995998,15.4,11.449603,0.0,89.312711,1.9,18.492075,15.9,13.291133,0.0,96.798886,203.2,5.515789,,,,,,,,,,,,,
174,"Fond du Lac, WI",0.916,40.244927,3.6164278157160721E-3,19.695507,5.9824949504664804E-3,59.078998,3.3548138886217181E-2,71.849404,No policy,0,4.9,21.316371,0.489,64.493521,0.49,45.438514,0,99.995998,8.9,55.468112,0.6,3.80495,0.8,76.561958,9.7,57.421358,99.3,24.477817,23.6,78.717697,,,,,,,,,,,,,
175,"Fort Collins, CO",0.848,90.628298,9.93105069341064E-3,40.989932,3.972420277364256E-2,99.982945,2.6580741205045836E-2,54.299696,No policy,0,2.6,60.317133,0.481,68.336674,0.52,63.361342,0,99.995998,6.8,78.556779,0.2,52.7446,0.4,93.932618,8.1,75.235975,5.0,80.574604,15.0,90.067084,,,,,,,,,,,,,
176,"Fort Smith, AR-OK",0.946,13.312525,3.6278381046396841E-3,19.737042,6.4165844027640672E-4,11.751869,1.3030602171767028E-2,15.188324,No policy,0,2.9,54.204198,0.550,32.113563,0.47,32.651268,0,99.995998,14.9,12.829929,7.0111526405052527E-2,78.953264,1.3,44.00917,15.8,13.844035,109.3,22.861925,102.2,20.460996,,,,,,,,,,,,,
177,"Fort Wayne, IN",0.934,22.192957,4.573625947599763E-3,23.139734,3.2010142657313348E-3,36.81697,1.3741833746339265E-2,16.924526,No policy,0,3.1,49.287828,0.456,79.436184,0.48,41.115734,0,99.995998,7.2,75.14794,0.1,64.540053,0.6,85.353268,7.7,79.342879,45.0,39.720058,45.4,53.160033,,,,,,,,,,,,,
178,"Fresno, CA",0.893,62.762837,1.3392921585440141E-2,51.075158,6.5477788652248854E-3,62.818465,2.171044844201549E-2,39.833745,No policy,0,3.0,51.977293,0.567,24.035874,0.50,54.336249,1.0450406429417232E-2,36.410983,10.2,42.497132,0.5,8.657012,2.1,13.870182,11.4,40.968245,75.7,29.351808,96.3,22.412844,,,,,,,,,,,,,
179,"Gadsden, AL",0.959,5.613872,2.3340515030265724E-3,14.936705,2.0519134092541295E-4,6.851236,6.2839848158407719E-3,3.324303,No policy,0,4.8,22.613551,0.579,19.168582,0.47,33.841577,0,99.995998,15.0,12.623663,0.0,89.312711,0.4,94.311239,15.6,14.459566,0.0,96.798886,61.2,40.055468,,,,,,,,,,,,,
180,"Gainesville, FL",0.852,88.850104,3.8000217622391669E-2,90.161112,3.347199785725645E-2,99.912177,2.9588275175144174E-2,62.459879,No policy,0,4.1,31.497596,0.592,14.882561,0.58,91.723522,0,99.995998,12.0,27.241912,0.9,0.163184,1.0,64.974463,14.1,21.337449,27.2,50.392748,33.3,66.323549,,,,,,,,,,,,,
181,"Gainesville, GA",0.931,25.595376,3.4304665940909896E-3,19.016825,3.2912225625965217E-4,8.331632,1.1443327679181752E-2,11.611252,No policy,0,3.8,36.344309,0.533,40.873912,0.54,77.877571,0,99.995998,12.8,22.402645,0.1,71.764761,0.5,88.89243,13.8,23.335297,330.1,8.8474,47.5,51.18947,,,,,,,,,,,,,
182,"Gettysburg, PA",[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],No policy,0,[no data],[no data],0.504,56.185906,0.56,86.919668,0,99.995998,[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],,,,,,,,,,,,,
183,"Glens Falls, NY",0.914,42.353639,4.5471449339058116E-3,23.045494,2.9919875587409986E-3,34.905049,2.8161871598093243E-2,58.688264,No policy,0,3.1,48.862886,0.525,45.241786,0.56,86.348212,0,99.995998,12.0,27.904254,0.0,89.312711,1.4,40.453993,13.1,27.719433,0.0,96.798886,49.6,49.250639,,,,,,,,,,,,,
184,"Goldsboro, NC",0.942,15.613726,6.0312049298544643E-3,28.239213,2.6222630129802021E-3,31.455198,1.6201839330199103E-2,23.459271,No policy,0,4.0,32.573085,0.555,29.467557,0.46,24.769869,0,99.995998,16.2,9.067034,0.3,26.667211,2.8,3.527853,17.2,9.474052,127.5,20.391257,175.4,7.620797,,,,,,,,,,,,,
185,"Grand Forks, ND-MN",0.889,66.181436,1.3021866908582336E-2,50.053654,8.7883426886658737E-3,75.091035,4.0142881442422181E-2,83.687405,No policy,0,7.1,7.388015,0.500,58.544954,0.50,53.347814,0,99.995998,11.4,31.741265,0.0,89.312711,0.2,97.95884,12.9,29.285584,0.0,96.798886,5.1,99.12836,,,,,,,,,,,,,
186,"Grand Island, NE",[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],No policy,0,[no data],[no data],0.505,56.058029,0.50,50.034284,0,99.995998,[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],,,,,,,,,,,,,
187,"Grand Junction, CO",0.902,54.601825,5.3458417094780731E-3,25.862789,1.3357158811704265E-2,89.87444,2.5463480008934555E-2,51.08531,No policy,0,4.1,32.007109,0.494,61.680305,0.49,45.596473,0,99.995998,9.0,54.001178,0.1,65.991843,1.2,49.72429,10.0,54.238102,10.3,69.70126,48.4,50.30173,,,,,,,,,,,,,
188,"Grand Rapids-Wyoming, MI",0.919,37.23787,1.3505702122812763E-2,51.382758,4.3652206102196851E-3,46.891854,1.7324202343494171E-2,26.658665,No policy,0,2.1,71.515887,0.505,55.891269,0.47,31.337191,0,99.995998,7.5,70.756732,0.3,31.05272,0.9,72.712358,8.2,73.63607,70.6,30.684854,49.5,49.313346,,,,,,,,,,,,,
189,"Grants Pass, OR",[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],No policy,0,[no data],[no data],0.677,1.206212,0.57,87.91912,0,99.995998,[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],[no data],,,,,,,,,,,,,
190,"Great Falls, MT",0.911,45.210043,9.44337811900192E-3,39.472092,8.2917466410748555E-3,72.705908,3.0991682661548305E-2,65.97705,No policy,0,2.4,63.269132,0.517,49.202239,0.58,92.053745,0,99.995998,7.3,73.162521,0.0,89.312711,1.2,50.410179,8.0,75.366286,0.0,96.798886,39.4,59.297078,,,,,,,,,,,,,
191,"Greeley, CO",0.902,53.933386,6.2555326054883446E-3,29.008727,8.3884837499473078E-3,73.184786,2.0832103865447035E-2,37.156114,No policy,0,4.6,25.368232,0.504,56.433672,0.42,8.745538,0,99.995998,14.8,13.125385,0.3,30.255531,0.4,94.136614,16.5,11.592724,37.3,43.669825,18.8,85.19524,,,,,,,,,,,,,
192,"Green Bay, WI",0.907,48.899469,8.8222576460641883E-3,37.50583,3.8270656796752481E-3,42.361344,2.5989196445281994E-2,52.608345,No policy,0,2.3,67.762926,0.481,68.303802,0.47,33.008663,0,99.995998,7.6,70.557164,0.2,53.468877,0.7,83.998554,8.3,72.343102,51.1,37.076997,25.1,76.742235,,,,,,,,,,,,,
193,"Greensboro-High Point, NC",0.930,26.023525,1.2033382341278315E-2,47.261814,1.4244840439485355E-3,19.775311,1.5489357548545317E-2,21.491666,No policy,0,3.8,36.003857,0.530,42.152953,0.52,62.937942,1.5556458602448693E-3,65.995846,10.8,36.419265,0.2,59.841311,1.3,47.394687,11.7,38.599782,116.6,21.806589,82.2,28.061077,,,,,,,,,,,,,
